methodName,time
doExtract(Ljava/sql/ResultSet;Ljava/lang/String;Lorg/hibernate/type/descriptor/WrapperOptions;)Ljava/lang/Object;,394310360
getTimestamp(Ljava/lang/String;Ljava/util/Calendar;)Ljava/sql/Timestamp;,116025944
access$000(Lorg/jadira/usertype/spi/shared/descriptor/sql/DstSafeTimestampTypeDescriptor;)Ljava/util/Calendar;,112978026
wrap(Ljava/lang/Object;Lorg/hibernate/type/descriptor/WrapperOptions;)Ljava/lang/Object;,36798693
getExtractor(Lorg/hibernate/type/descriptor/java/JavaTypeDescriptor;)Lorg/hibernate/type/descriptor/ValueExtractor;,71003103
<init>(Lorg/jadira/usertype/spi/shared/descriptor/sql/DstSafeTimestampTypeDescriptor;Lorg/hibernate/type/descriptor/java/JavaTypeDescriptor;Lorg/hibernate/type/descriptor/sql/SqlTypeDescriptor;Lorg/hibernate/type/descriptor/java/JavaTypeDescriptor;)V,47317387
<init>(Lorg/hibernate/type/descriptor/java/JavaTypeDescriptor;Lorg/hibernate/type/descriptor/sql/SqlTypeDescriptor;)V,24059554
getColumnMapper()Lorg/jadira/usertype/spi/shared/ColumnMapper;,31115280
beforeNullSafeOperation(Lorg/hibernate/engine/spi/SessionImplementor;)V,135127574
applyConfiguration(Lorg/hibernate/SessionFactory;)V,126762496
applyConfiguration(Lorg/hibernate/SessionFactory;)V,35179789
doApplyConfiguration()V,476627651
performDatabaseZoneConfiguration(Lorg/jadira/usertype/spi/shared/DatabaseZoneConfigured;)V,85318232
getProperty(Ljava/lang/String;)Ljava/lang/String;,112471594
getProperty(Ljava/lang/String;)Ljava/lang/String;,58039708
get()Ljava/lang/Object;,26957454
get(Ljava/lang/Object;)Ljava/lang/Object;,23238501
getParameterValues()Ljava/util/Properties;,34441869
performJavaZoneConfiguration(Lorg/jadira/usertype/spi/shared/JavaZoneConfigured;)V,40912368
getProperty(Ljava/lang/String;)Ljava/lang/String;,58282037
getProperty(Ljava/lang/String;)Ljava/lang/String;,33991081
get(Ljava/lang/Object;)Ljava/lang/Object;,30595629
get()Ljava/lang/Object;,28432239
getParameterValues()Ljava/util/Properties;,31822696
getClass()Ljava/lang/Class;,185207047
isAssignableFrom(Ljava/lang/Class;)Z,163267535
getColumnMapper()Lorg/jadira/usertype/spi/shared/ColumnMapper;,88151655
getMajorVersion()I,68176289
getMinorVersion()I,26348133
getProperty(Ljava/lang/String;)Ljava/lang/String;,101133811
get()Ljava/lang/Object;,35776849
getProperty(Ljava/lang/String;)Ljava/lang/String;,33611859
get(Ljava/lang/Object;)Ljava/lang/Object;,28249151
getParameterValues()Ljava/util/Properties;,13305036
setCurrentSessionFactory(Lorg/hibernate/SessionFactory;)V,68314508
set(Ljava/lang/Object;)V,14174486
getFactory()Lorg/hibernate/engine/spi/SessionFactoryImplementor;,35165692
afterNullSafeOperation(Lorg/hibernate/engine/spi/SessionImplementor;)V,91387631
setCurrentSessionFactory(Lorg/hibernate/SessionFactory;)V,79917460
set(Ljava/lang/Object;)V,38482255
getColumnMapper()Lorg/jadira/usertype/spi/shared/ColumnMapper;,34912682
<init>()V,265937067
<init>(JLorg/joda/time/Chronology;)V,22566277
set(JI)J,22004114
set(JI)J,30433412
setYear(JI)J,33014868
getYear(J)I,13606586
getApproxMillisAtEpochDividedByTwo()J,17792163
getYearMillis(I)J,11013640
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,3058009
getAverageMillisPerYearDividedByTwo()J,4519552
getYearMonthDayMillis(III)J,17439027
getTotalMillisByYearMonth(II)J,2658956
isLeapYear(I)Z,12432146
getYearMillis(I)J,5271214
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,8946645
getDayOfYear(JI)I,6837033
getYearMillis(I)J,7361259
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,6636769
isLeapYear(I)Z,11780403
getMillisOfDay(J)I,217768
verifyValueBounds(Lorg/joda/time/DateTimeField;III)V,11201327
getMinYear()I,248060
getMaxYear()I,213409
get(J)I,7194136
get(J)I,4552506
getYear(J)I,10023355
getYearMillis(I)J,10819190
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,10869320
getAverageMillisPerYearDividedByTwo()J,8284827
getApproxMillisAtEpochDividedByTwo()J,177724
convertUTCToLocal(J)J,2486927
getOffset(J)I,14943563
getOffset(J)I,7337916
getInfo(J)Lorg/joda/time/tz/CachedDateTimeZone$Info;,6790682
convertLocalToUTC(JZJ)J,6894485
getOffset(J)I,17687405
getOffset(J)I,14468644
getInfo(J)Lorg/joda/time/tz/CachedDateTimeZone$Info;,2614561
convertUTCToLocal(J)J,13661133
getOffset(J)I,13561387
getInfo(J)Lorg/joda/time/tz/CachedDateTimeZone$Info;,9802086
getOffset(J)I,2487910
get(J)I,13590683
get(J)I,6888383
getYear(J)I,27197943
getAverageMillisPerYearDividedByTwo()J,10451201
getYearMillis(I)J,2556887
getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;,6280431
getApproxMillisAtEpochDividedByTwo()J,2618775
convertUTCToLocal(J)J,19133730
getOffset(J)I,24591623
getOffset(J)I,7032258
getInfo(J)Lorg/joda/time/tz/CachedDateTimeZone$Info;,4523702
checkChronology(Lorg/joda/time/Chronology;)Lorg/joda/time/Chronology;,18490456
getChronology(Lorg/joda/time/Chronology;)Lorg/joda/time/Chronology;,4385836
<init>()V,6863207
<init>()V,12683299
year()Lorg/joda/time/DateTimeField;,14756938
isSupported()Z,2572758
checkInstant(JLorg/joda/time/Chronology;)J,211439
getInstance()Lorg/joda/time/chrono/ISOChronology;,19624610
getInstance(Lorg/joda/time/DateTimeZone;)Lorg/joda/time/chrono/ISOChronology;,485416
get(Ljava/lang/Object;)Ljava/lang/Object;,5205001
hashCode()I,514765
hashCode()I,15451204
getID()Ljava/lang/String;,7092889
hashCode()I,2504254
getDefault()Lorg/joda/time/DateTimeZone;,9341327
get()Ljava/lang/Object;,4341355
currentTimeMillis()J,22585114
getMillis()J,6130564
currentTimeMillis()J,10926320
deepCopy(Ljava/lang/Object;)Ljava/lang/Object;,262048996
_jspService(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,2119279
_jspService(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,7572
_jspService(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,3747
_jspService(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,1779
getWriter()Ljava/io/PrintWriter;,68
getWriter()Ljava/io/PrintWriter;,31
getParameter(Ljava/lang/String;)Ljava/lang/String;,150
isBlank(Ljava/lang/String;)Z,52
<init>(Ljavax/servlet/http/HttpServletRequest;Lcom/github/dandelion/core/Context;)V,2130
get(Ljavax/servlet/ServletRequest;)Lcom/github/dandelion/core/web/AssetRequestContext;,1023
getCanonicalName()Ljava/lang/String;,507
<init>()V,252
<init>()V,100
<init>()V,27
addBundles(Ljava/util/Collection;)Lcom/github/dandelion/core/web/AssetRequestContext;,143
iterator()Ljava/util/Iterator;,53
hasNext()Z,44
excludeJs(Ljava/util/Collection;)Lcom/github/dandelion/core/web/AssetRequestContext;,87
iterator()Ljava/util/Iterator;,63
hasNext()Z,37
excludeCss(Ljava/util/Collection;)Lcom/github/dandelion/core/web/AssetRequestContext;,85
iterator()Ljava/util/Iterator;,41
hasNext()Z,33
excludeBundles(Ljava/util/Collection;)Lcom/github/dandelion/core/web/AssetRequestContext;,87
hasNext()Z,32
iterator()Ljava/util/Iterator;,26
getAttribute(Ljava/lang/String;)Ljava/lang/Object;,116
getConfiguration()Lcom/github/dandelion/core/config/Configuration;,69
setAttribute(Ljava/lang/String;Ljava/lang/Object;)V,63
cast(Ljava/lang/Object;)Ljava/lang/Object;,53
getBundleExcludes()Ljava/util/List;,38
getAssetCssExcludes()Ljava/util/List;,37
getBundleIncludes()Ljava/util/List;,36
getAssetJsExcludes()Ljava/util/List;,26
storeAssets(Ljava/lang/String;Ljava/util/Set;)Ljava/util/Set;,278
storeRequestAssets(Ljava/lang/String;Ljava/util/Set;)V,112
put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,264
put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,478
lock()V,794
put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,410
removeEldestEntry(Ljava/util/Map$Entry;)Z,14
size()I,3
isRemovable(Ljava/util/Map$Entry;)Z,2
unlock()V,217
writeLock()Ljava/util/concurrent/locks/Lock;,198
getAssetCache()Lcom/github/dandelion/core/asset/cache/spi/AssetCache;,44
mapToAssets(Ljava/util/Set;)Ljava/util/Set;,201
<init>()V,2481
iterator()Ljava/util/Iterator;,42
hasNext()Z,36
getAssets(Ljava/lang/String;)Ljava/util/Set;,288
getRequestAssets(Ljava/lang/String;)Ljava/util/Set;,131
get(Ljava/lang/Object;)Ljava/lang/Object;,364
get(Ljava/lang/Object;)Ljava/lang/Object;,504
get(Ljava/lang/Object;)Ljava/lang/Object;,538
readLock()Ljava/util/concurrent/locks/Lock;,276
lock()V,205
unlock()V,150
getAssetCache()Lcom/github/dandelion/core/asset/cache/spi/AssetCache;,47
collectJsToExclude()[Ljava/lang/String;,632
get(Ljavax/servlet/ServletRequest;)Lcom/github/dandelion/core/web/AssetRequestContext;,347
getCanonicalName()Ljava/lang/String;,223
getAttribute(Ljava/lang/String;)Ljava/lang/Object;,137
cast(Ljava/lang/Object;)Ljava/lang/Object;,64
toArray([Ljava/lang/Object;)[Ljava/lang/Object;,331
getExcludedJs()[Ljava/lang/String;,173
size()I,60
toArray([Ljava/lang/Object;)[Ljava/lang/Object;,53
getExcludedBundles()[Ljava/lang/String;,171
toArray([Ljava/lang/Object;)[Ljava/lang/Object;,54
size()I,46
<init>()V,129
size()I,60
getCurrentUri(Ljavax/servlet/http/HttpServletRequest;)Ljava/lang/StringBuilder;,850
<init>()V,245
append(Ljava/lang/String;)Ljava/lang/StringBuilder;,228
